,CNAME_E,COMM_NUM,SHAPE_AREA,SHAPE_LEN,lat,lon,Hospital,Sector,Pop2017,Pop2018,Pop2019,Pop2019density,PopGrowth19by18,PopGrowthbinned,PopDensitybinned,Counter,HF_per_Pop,HF_per_k_Pop
79,AL THANYAH THIRD,388,3842456.33894,8778.52119434,25.085130469004913,55.16612470037834,9,Sector 3,12025.0,17737.0,21442.0,5580.2846170830135,20.888538084230703,20 < x <= 100,1000 < x <= 10k,1,0.00041973696483536984,0.4197369648353698
80,AL THANYAH SECOND,384,6228059.32645,10798.3735952,25.080095478819214,55.190708337052286,5,Sector 3,115.0,115.0,115.0,18.46482089719433,0.0,-2 < x <=2,10 < x <1000,1,0.043478260869565216,43.47826086956522
81,SAIH SHUAIB 3,532,16041464.7557,17134.596055200003,24.84614962643613,55.07807342495038,0,Sector 5,11144.0,11144.0,11144.0,694.6996530376201,0.0,-2 < x <=2,10 < x <1000,1,0.0,0.0
82,AL HEBIAH SECOND,675,3261042.68008,7575.23809192,25.03483450172325,55.245752008937046,3,Sector 6,817.0,1032.0,1523.0,467.02853946169074,47.57751937984496,20 < x <= 100,10 < x <1000,1,0.001969796454366382,1.9697964543663822
83,UMM SUQEIM SECOND,362,3190130.12461,9506.62161332,25.15139263453343,55.20282879461221,8,Sector 3,11012.0,11456.0,12325.0,3863.478766875303,7.5855446927374235,2 < x <= 20,1000 < x <= 10k,1,0.0006490872210953347,0.6490872210953347
84,OUD AL MUTEENA THIRD,268,1369803.48,5370.23639675,25.274573445375786,55.44841835507439,2,Sector 2,6110.0,6344.0,6679.0,4875.88190387719,5.2805800756620345,2 < x <= 20,1000 < x <= 10k,1,0.0002994460248540201,0.29944602485402005
85,AL HATHMAH,956,82256581.7113,35222.9690834,24.804128498505158,55.44939930841297,0,Sector 9,35.0,35.0,35.0,0.42549786621137786,0.0,-2 < x <=2,0< x <= 10 ,1,0.0,0.0
86,UMM AL DAMAN,824,35222549.9119,25862.296833,25.06021795894025,55.4574348917082,0,Sector 8,48.0,258.0,283.0,8.034625565379296,9.689922480620151,2 < x <= 20,0< x <= 10 ,1,0.0,0.0
87,AL O'SHOOSH,975,58948906.1738,34673.310750699995,24.67757782168623,55.35049871778347,0,Sector 9,0.0,0.0,0.0,0.0,0.0,-2 < x <=2, x = 0,1,,
88,AL LAYAN 2,988,36997664.9578,24917.1345591,24.750236846298538,55.15620204362926,0,Sector 9,0.0,0.0,0.0,0.0,0.0,-2 < x <=2, x = 0,1,,
89,AL NAHDA SECOND,241,2211570.57,5984.62489457,25.290805442303103,55.377743082060604,11,Sector 2,54678.0,56489.0,61936.0,28005.436878281485,9.642585282090321,2 < x <= 20,10k < x <= 50k,1,0.00017760268664427796,0.17760268664427797
90,WADI AL SAFA 4,646,6854488.88007,12609.9513807,25.076772059343114,55.31787605928044,0,Sector 6,2.0,2.0,2.0,0.2917795965524384,0.0,-2 < x <=2,0< x <= 10 ,1,0.0,0.0
91,SAIH SHUA'ALAH,978,69543181.4311,36734.7572076,24.66047858790748,55.42137392809671,0,Sector 9,3.0,3.0,3.0,0.04313866490235645,0.0,-2 < x <=2,0< x <= 10 ,1,0.0,0.0
92,AL GARHOUD,214,4042863.618,9214.88108067,25.24247054399423,55.35037842810525,29,Sector 2,17254.0,18424.0,18535.0,4584.621632418371,0.6024750325662076,-2 < x <=2,1000 < x <= 10k,1,0.0015646074993256002,1.5646074993256003
